INFO 2021-06-29 05:54:17,205 daemon Exiting due to SIGINT
WARNING 2021-06-29 06:13:33,008 judge_handler Authentication failure: ('113.169.222.240', 42350)
INFO 2021-06-29 06:13:33,009 judge_handler Judge disconnected from: ('113.169.222.240', 42350) with name None
INFO 2021-06-29 06:13:41,155 judge_handler Judge connected from: ('66.42.48.198', 45610)
WARNING 2021-06-29 06:13:41,218 judge_handler Authentication failure: ('66.42.48.198', 45610)
INFO 2021-06-29 06:13:41,218 judge_handler Judge disconnected from: ('66.42.48.198', 45610) with name None
INFO 2021-06-29 06:14:22,486 judge_handler Judge connected from: ('172.17.0.2', 37184)
WARNING 2021-06-29 06:14:22,517 judge_handler Authentication failure: ('172.17.0.2', 37184)
INFO 2021-06-29 06:14:22,517 judge_handler Judge disconnected from: ('172.17.0.2', 37184) with name None
INFO 2021-06-29 06:14:39,737 judge_handler Judge connected from: ('113.169.222.240', 42352)
WARNING 2021-06-29 06:14:39,767 judge_handler Authentication failure: ('113.169.222.240', 42352)
INFO 2021-06-29 06:14:39,768 judge_handler Judge disconnected from: ('113.169.222.240', 42352) with name None
INFO 2021-06-29 06:14:41,385 judge_handler Judge connected from: ('66.42.48.198', 45612)
WARNING 2021-06-29 06:14:41,443 judge_handler Authentication failure: ('66.42.48.198', 45612)
INFO 2021-06-29 06:14:41,443 judge_handler Judge disconnected from: ('66.42.48.198', 45612) with name None
INFO 2021-06-29 06:15:22,586 judge_handler Judge connected from: ('172.17.0.2', 37208)
WARNING 2021-06-29 06:15:22,622 judge_handler Authentication failure: ('172.17.0.2', 37208)
INFO 2021-06-29 06:15:22,623 judge_handler Judge disconnected from: ('172.17.0.2', 37208) with name None
INFO 2021-06-29 06:15:41,623 judge_handler Judge connected from: ('66.42.48.198', 45614)
WARNING 2021-06-29 06:15:41,984 judge_handler Authentication failure: ('66.42.48.198', 45614)
INFO 2021-06-29 06:15:41,985 judge_handler Judge disconnected from: ('66.42.48.198', 45614) with name None
INFO 2021-06-29 06:15:45,397 judge_handler Judge connected from: ('113.169.222.240', 42354)
WARNING 2021-06-29 06:15:45,425 judge_handler Authentication failure: ('113.169.222.240', 42354)
INFO 2021-06-29 06:15:45,427 judge_handler Judge disconnected from: ('113.169.222.240', 42354) with name None
INFO 2021-06-29 06:16:22,699 judge_handler Judge connected from: ('172.17.0.2', 37216)
WARNING 2021-06-29 06:16:22,721 judge_handler Authentication failure: ('172.17.0.2', 37216)
INFO 2021-06-29 06:16:22,724 judge_handler Judge disconnected from: ('172.17.0.2', 37216) with name None
INFO 2021-06-29 06:16:42,153 judge_handler Judge connected from: ('66.42.48.198', 45616)
WARNING 2021-06-29 06:16:42,217 judge_handler Authentication failure: ('66.42.48.198', 45616)
INFO 2021-06-29 06:16:42,224 judge_handler Judge disconnected from: ('66.42.48.198', 45616) with name None
INFO 2021-06-29 06:16:51,574 judge_handler Judge connected from: ('113.169.222.240', 42356)
WARNING 2021-06-29 06:16:51,612 judge_handler Authentication failure: ('113.169.222.240', 42356)
INFO 2021-06-29 06:16:51,613 judge_handler Judge disconnected from: ('113.169.222.240', 42356) with name None
INFO 2021-06-29 06:17:22,795 judge_handler Judge connected from: ('172.17.0.2', 37224)
WARNING 2021-06-29 06:17:22,833 judge_handler Authentication failure: ('172.17.0.2', 37224)
INFO 2021-06-29 06:17:22,833 judge_handler Judge disconnected from: ('172.17.0.2', 37224) with name None
INFO 2021-06-29 06:17:42,401 judge_handler Judge connected from: ('66.42.48.198', 45618)
WARNING 2021-06-29 06:17:42,467 judge_handler Authentication failure: ('66.42.48.198', 45618)
INFO 2021-06-29 06:17:42,468 judge_handler Judge disconnected from: ('66.42.48.198', 45618) with name None
INFO 2021-06-29 06:17:57,893 judge_handler Judge connected from: ('113.169.222.240', 42358)
WARNING 2021-06-29 06:17:57,916 judge_handler Authentication failure: ('113.169.222.240', 42358)
INFO 2021-06-29 06:17:57,917 judge_handler Judge disconnected from: ('113.169.222.240', 42358) with name None
INFO 2021-06-29 06:18:22,913 judge_handler Judge connected from: ('172.17.0.2', 37232)
WARNING 2021-06-29 06:18:22,928 judge_handler Authentication failure: ('172.17.0.2', 37232)
INFO 2021-06-29 06:18:22,932 judge_handler Judge disconnected from: ('172.17.0.2', 37232) with name None
INFO 2021-06-29 06:18:42,638 judge_handler Judge connected from: ('66.42.48.198', 45620)
WARNING 2021-06-29 06:18:42,714 judge_handler Authentication failure: ('66.42.48.198', 45620)
INFO 2021-06-29 06:18:42,715 judge_handler Judge disconnected from: ('66.42.48.198', 45620) with name None
INFO 2021-06-29 06:19:04,445 judge_handler Judge connected from: ('113.169.222.240', 42360)
WARNING 2021-06-29 06:19:04,471 judge_handler Authentication failure: ('113.169.222.240', 42360)
INFO 2021-06-29 06:19:04,472 judge_handler Judge disconnected from: ('113.169.222.240', 42360) with name None
INFO 2021-06-29 06:19:23,001 judge_handler Judge connected from: ('172.17.0.2', 37240)
WARNING 2021-06-29 06:19:23,020 judge_handler Authentication failure: ('172.17.0.2', 37240)
INFO 2021-06-29 06:19:23,020 judge_handler Judge disconnected from: ('172.17.0.2', 37240) with name None
INFO 2021-06-29 06:19:42,890 judge_handler Judge connected from: ('66.42.48.198', 45622)
WARNING 2021-06-29 06:19:42,977 judge_handler Authentication failure: ('66.42.48.198', 45622)
INFO 2021-06-29 06:19:42,988 judge_handler Judge disconnected from: ('66.42.48.198', 45622) with name None
INFO 2021-06-29 06:20:11,184 judge_handler Judge connected from: ('113.169.222.240', 42362)
WARNING 2021-06-29 06:20:11,203 judge_handler Authentication failure: ('113.169.222.240', 42362)
INFO 2021-06-29 06:20:11,203 judge_handler Judge disconnected from: ('113.169.222.240', 42362) with name None
INFO 2021-06-29 06:20:23,090 judge_handler Judge connected from: ('172.17.0.2', 37248)
WARNING 2021-06-29 06:20:23,108 judge_handler Authentication failure: ('172.17.0.2', 37248)
INFO 2021-06-29 06:20:23,108 judge_handler Judge disconnected from: ('172.17.0.2', 37248) with name None
INFO 2021-06-29 06:20:43,165 judge_handler Judge connected from: ('66.42.48.198', 45624)
WARNING 2021-06-29 06:20:43,240 judge_handler Authentication failure: ('66.42.48.198', 45624)
INFO 2021-06-29 06:20:43,241 judge_handler Judge disconnected from: ('66.42.48.198', 45624) with name None
INFO 2021-06-29 06:21:17,938 judge_handler Judge connected from: ('113.169.222.240', 42364)
WARNING 2021-06-29 06:21:17,957 judge_handler Authentication failure: ('113.169.222.240', 42364)
INFO 2021-06-29 06:21:17,958 judge_handler Judge disconnected from: ('113.169.222.240', 42364) with name None
INFO 2021-06-29 06:21:23,184 judge_handler Judge connected from: ('172.17.0.2', 37256)
WARNING 2021-06-29 06:21:23,206 judge_handler Authentication failure: ('172.17.0.2', 37256)
INFO 2021-06-29 06:21:23,207 judge_handler Judge disconnected from: ('172.17.0.2', 37256) with name None
INFO 2021-06-29 06:21:43,581 judge_handler Judge connected from: ('66.42.48.198', 45626)
WARNING 2021-06-29 06:21:44,118 judge_handler Authentication failure: ('66.42.48.198', 45626)
INFO 2021-06-29 06:21:44,118 judge_handler Judge disconnected from: ('66.42.48.198', 45626) with name None
INFO 2021-06-29 06:22:23,282 judge_handler Judge connected from: ('172.17.0.2', 37262)
WARNING 2021-06-29 06:22:23,299 judge_handler Authentication failure: ('172.17.0.2', 37262)
INFO 2021-06-29 06:22:23,299 judge_handler Judge disconnected from: ('172.17.0.2', 37262) with name None
INFO 2021-06-29 06:22:24,662 judge_handler Judge connected from: ('113.169.222.240', 42366)
WARNING 2021-06-29 06:22:24,687 judge_handler Authentication failure: ('113.169.222.240', 42366)
INFO 2021-06-29 06:22:24,688 judge_handler Judge disconnected from: ('113.169.222.240', 42366) with name None
INFO 2021-06-29 06:22:44,335 judge_handler Judge connected from: ('66.42.48.198', 45628)
WARNING 2021-06-29 06:22:44,401 judge_handler Authentication failure: ('66.42.48.198', 45628)
INFO 2021-06-29 06:22:44,401 judge_handler Judge disconnected from: ('66.42.48.198', 45628) with name None
INFO 2021-06-29 06:23:23,382 judge_handler Judge connected from: ('172.17.0.2', 37270)
WARNING 2021-06-29 06:23:23,423 judge_handler Authentication failure: ('172.17.0.2', 37270)
INFO 2021-06-29 06:23:23,427 judge_handler Judge disconnected from: ('172.17.0.2', 37270) with name None
INFO 2021-06-29 06:23:30,288 judge_handler Judge connected from: ('113.169.222.240', 42368)
WARNING 2021-06-29 06:23:30,306 judge_handler Authentication failure: ('113.169.222.240', 42368)
INFO 2021-06-29 06:23:30,313 judge_handler Judge disconnected from: ('113.169.222.240', 42368) with name None
INFO 2021-06-29 06:23:44,572 judge_handler Judge connected from: ('66.42.48.198', 45630)
WARNING 2021-06-29 06:23:44,637 judge_handler Authentication failure: ('66.42.48.198', 45630)
INFO 2021-06-29 06:23:44,637 judge_handler Judge disconnected from: ('66.42.48.198', 45630) with name None
INFO 2021-06-29 06:24:23,474 judge_handler Judge connected from: ('172.17.0.2', 37280)
WARNING 2021-06-29 06:24:23,495 judge_handler Authentication failure: ('172.17.0.2', 37280)
INFO 2021-06-29 06:24:23,496 judge_handler Judge disconnected from: ('172.17.0.2', 37280) with name None
INFO 2021-06-29 06:24:36,401 judge_handler Judge connected from: ('113.169.222.240', 42370)
WARNING 2021-06-29 06:24:36,414 judge_handler Authentication failure: ('113.169.222.240', 42370)
INFO 2021-06-29 06:24:36,415 judge_handler Judge disconnected from: ('113.169.222.240', 42370) with name None
INFO 2021-06-29 06:24:44,990 judge_handler Judge connected from: ('66.42.48.198', 45632)
WARNING 2021-06-29 06:24:45,178 judge_handler Authentication failure: ('66.42.48.198', 45632)
INFO 2021-06-29 06:24:45,179 judge_handler Judge disconnected from: ('66.42.48.198', 45632) with name None
INFO 2021-06-29 06:25:23,574 judge_handler Judge connected from: ('172.17.0.2', 37290)
WARNING 2021-06-29 06:25:23,602 judge_handler Authentication failure: ('172.17.0.2', 37290)
INFO 2021-06-29 06:25:23,602 judge_handler Judge disconnected from: ('172.17.0.2', 37290) with name None
INFO 2021-06-29 06:25:42,671 judge_handler Judge connected from: ('113.169.222.240', 42372)
WARNING 2021-06-29 06:25:42,688 judge_handler Authentication failure: ('113.169.222.240', 42372)
INFO 2021-06-29 06:25:42,689 judge_handler Judge disconnected from: ('113.169.222.240', 42372) with name None
INFO 2021-06-29 06:25:45,427 judge_handler Judge connected from: ('66.42.48.198', 45634)
WARNING 2021-06-29 06:25:45,493 judge_handler Authentication failure: ('66.42.48.198', 45634)
INFO 2021-06-29 06:25:45,494 judge_handler Judge disconnected from: ('66.42.48.198', 45634) with name None
INFO 2021-06-29 06:26:23,671 judge_handler Judge connected from: ('172.17.0.2', 37300)
WARNING 2021-06-29 06:26:23,706 judge_handler Authentication failure: ('172.17.0.2', 37300)
INFO 2021-06-29 06:26:23,707 judge_handler Judge disconnected from: ('172.17.0.2', 37300) with name None
INFO 2021-06-29 06:26:45,677 judge_handler Judge connected from: ('66.42.48.198', 45636)
WARNING 2021-06-29 06:26:45,737 judge_handler Authentication failure: ('66.42.48.198', 45636)
INFO 2021-06-29 06:26:45,737 judge_handler Judge disconnected from: ('66.42.48.198', 45636) with name None
INFO 2021-06-29 06:26:49,198 judge_handler Judge connected from: ('113.169.222.240', 42374)
WARNING 2021-06-29 06:26:49,213 judge_handler Authentication failure: ('113.169.222.240', 42374)
INFO 2021-06-29 06:26:49,213 judge_handler Judge disconnected from: ('113.169.222.240', 42374) with name None
INFO 2021-06-29 06:27:23,786 judge_handler Judge connected from: ('172.17.0.2', 37308)
WARNING 2021-06-29 06:27:23,815 judge_handler Authentication failure: ('172.17.0.2', 37308)
INFO 2021-06-29 06:27:23,816 judge_handler Judge disconnected from: ('172.17.0.2', 37308) with name None
INFO 2021-06-29 06:27:45,914 judge_handler Judge connected from: ('66.42.48.198', 45638)
WARNING 2021-06-29 06:27:45,981 judge_handler Authentication failure: ('66.42.48.198', 45638)
INFO 2021-06-29 06:27:45,982 judge_handler Judge disconnected from: ('66.42.48.198', 45638) with name None
INFO 2021-06-29 06:27:55,933 judge_handler Judge connected from: ('113.169.222.240', 42382)
WARNING 2021-06-29 06:27:55,955 judge_handler Authentication failure: ('113.169.222.240', 42382)
INFO 2021-06-29 06:27:55,958 judge_handler Judge disconnected from: ('113.169.222.240', 42382) with name None
INFO 2021-06-29 06:28:23,889 judge_handler Judge connected from: ('172.17.0.2', 37318)
WARNING 2021-06-29 06:28:23,908 judge_handler Authentication failure: ('172.17.0.2', 37318)
INFO 2021-06-29 06:28:23,920 judge_handler Judge disconnected from: ('172.17.0.2', 37318) with name None
INFO 2021-06-29 06:28:46,152 judge_handler Judge connected from: ('66.42.48.198', 45640)
WARNING 2021-06-29 06:28:46,222 judge_handler Authentication failure: ('66.42.48.198', 45640)
INFO 2021-06-29 06:28:46,222 judge_handler Judge disconnected from: ('66.42.48.198', 45640) with name None
INFO 2021-06-29 06:29:02,650 judge_handler Judge connected from: ('113.169.222.240', 42384)
WARNING 2021-06-29 06:29:02,680 judge_handler Authentication failure: ('113.169.222.240', 42384)
INFO 2021-06-29 06:29:02,683 judge_handler Judge disconnected from: ('113.169.222.240', 42384) with name None
INFO 2021-06-29 06:29:23,964 judge_handler Judge connected from: ('172.17.0.2', 37352)
WARNING 2021-06-29 06:29:23,994 judge_handler Authentication failure: ('172.17.0.2', 37352)
INFO 2021-06-29 06:29:23,994 judge_handler Judge disconnected from: ('172.17.0.2', 37352) with name None
INFO 2021-06-29 06:29:46,392 judge_handler Judge connected from: ('66.42.48.198', 45642)
WARNING 2021-06-29 06:29:46,462 judge_handler Authentication failure: ('66.42.48.198', 45642)
INFO 2021-06-29 06:29:46,463 judge_handler Judge disconnected from: ('66.42.48.198', 45642) with name None
INFO 2021-06-29 06:30:09,419 judge_handler Judge connected from: ('113.169.222.240', 42398)
WARNING 2021-06-29 06:30:09,443 judge_handler Authentication failure: ('113.169.222.240', 42398)
INFO 2021-06-29 06:30:09,443 judge_handler Judge disconnected from: ('113.169.222.240', 42398) with name None
INFO 2021-06-29 06:30:24,067 judge_handler Judge connected from: ('172.17.0.2', 37360)
WARNING 2021-06-29 06:30:24,086 judge_handler Authentication failure: ('172.17.0.2', 37360)
INFO 2021-06-29 06:30:24,088 judge_handler Judge disconnected from: ('172.17.0.2', 37360) with name None
